Model,0
LogisticRegression,0.5078724224289929
SGDClassifier,0.47973304715536275
PassiveAggressiveClassifier,0.43331155382857245
BernoulliNB,0.42839685253552584
NearestCentroid,0.4281239339981691
LinearSVC,0.41748991527979923
XGBClassifier,0.4168666277934488
Perceptron,0.3924609409780536
LinearDiscriminantAnalysis,0.3870873317770346
RidgeClassifierCV,0.37511922676021936
LGBMClassifier,0.36284488412668814
GaussianNB,0.3605196949086406
RidgeClassifier,0.3578027334495237
CalibratedClassifierCV,0.3272177722582338
BaggingClassifier,0.2743232057602448
ExtraTreesClassifier,0.26680825917749573
KNeighborsClassifier,0.2600082213047538
RandomForestClassifier,0.25715418153909686
DecisionTreeClassifier,0.1965780575205584
ExtraTreeClassifier,0.17040917127810967
AdaBoostClassifier,0.1594491908466414
DummyClassifier,0.0614856429463171
LabelSpreading,0.03969359331476323
LabelPropagation,0.03969359331476323
