Model,0
LinearDiscriminantAnalysis,0.6357456711198349
RidgeClassifier,0.6144884407807036
RidgeClassifierCV,0.613163932783147
XGBClassifier,0.5904065767275471
LogisticRegression,0.5858790874727183
LGBMClassifier,0.5791318992435321
SGDClassifier,0.5750348116994319
Perceptron,0.5437791354389896
PassiveAggressiveClassifier,0.5339000078924416
CalibratedClassifierCV,0.5058879079886323
LinearSVC,0.49862604068971855
NearestCentroid,0.4965257108472213
BernoulliNB,0.48113937152067754
KNeighborsClassifier,0.47405840828173285
RandomForestClassifier,0.4713087161056161
ExtraTreesClassifier,0.4578073800253757
BaggingClassifier,0.44625306086103667
GaussianNB,0.4460382037532248
AdaBoostClassifier,0.3897301183323859
DecisionTreeClassifier,0.3441888488761246
ExtraTreeClassifier,0.2709583040643471
DummyClassifier,0.05771349862258953
LabelPropagation,0.039253354223355526
LabelSpreading,0.039253354223355526
